,SP-Subregião,MAPE Infectados,MAPE  Recuperados,Result
0,VlaamsBrabant,3.457034392008812,0.10582878561909706,Passed
1,VlaamsBrabant,3.369534099219655,0.11582612952109254,Passed
2,VlaamsBrabant,3.422676004898188,0.09312716999768296,Passed
3,VlaamsBrabant,3.2704702625463584,0.2312529350567908,Passed
4,VlaamsBrabant,3.371601865164568,0.1007046298554143,Passed
5,VlaamsBrabant,3.4870009349576403,0.19937206361252108,Passed
6,VlaamsBrabant,3.636413667594592,1.1466243029716217,Passed
7,VlaamsBrabant,3.757976490972645,0.11495562267624182,Passed
8,VlaamsBrabant,3.511275551010864,0.8514909639515715,Passed
9,VlaamsBrabant,3.9532673976524215,0.2962760800227346,Passed
10,VlaamsBrabant,3.663792177272288,0.9965903335805436,Passed
11,VlaamsBrabant,2.9956153656400115,0.8385271479711048,Passed
12,VlaamsBrabant,4.5145146188227185,0.2304407767365417,Passed
13,VlaamsBrabant,4.591818759555466,0.11160952613339026,Passed
14,VlaamsBrabant,3.5566186805340254,0.08592588811266309,Passed
15,VlaamsBrabant,3.4763397991259217,0.0919958926462368,Passed
16,VlaamsBrabant,2.9844522519839614,0.26930406675183416,Passed
17,VlaamsBrabant,2.4698911865343596,1.0183608782707003,Passed
18,VlaamsBrabant,2.542829968916747,1.068688509099167,Passed
19,VlaamsBrabant,2.5145717474453124,0.16217438607086704,Passed
20,VlaamsBrabant,2.5378499910776413,0.3774127771748375,Passed
21,VlaamsBrabant,2.7327949301787724,0.3585187764131989,Passed
22,VlaamsBrabant,2.9631916223873485,0.1028106345834848,Passed
23,VlaamsBrabant,3.317773473936478,0.10891621310225587,Passed
24,VlaamsBrabant,3.5731736456227385,0.1405591054638194,Passed
25,VlaamsBrabant,1.1777684457646214,0.2424208903969869,Passed
26,VlaamsBrabant,0.8880199456701207,0.0991358766178458,Passed
27,VlaamsBrabant,1.9413049938668256,0.05440166046164314,Passed
28,VlaamsBrabant,0.8375427815097995,0.08330944367765616,Passed
29,VlaamsBrabant,0.0023214664226690416,0.04643046290948378,Passed
30,VlaamsBrabant,0.0,1.806300145027041e-14,Passed
